Ranking;Ranking.1;Unnamed: 2
Coaches (active);Coaches (active);
Games (Results - Fixtures);Games (Results - Fixtures);
Europe;Europe;
UCL (24 teams);⌀1178;
UEL (6 teams);⌀1303;
ECL (40 teams);⌀1099;
England;England;
Level 1 (20 teams);⌀1819;
Level 2 (23 teams);⌀1540;
France;France;
Level 1 (18 teams);⌀1665;
Level 2 (18 teams);⌀1428;
Spain;Spain;
Level 1 (20 teams);⌀1698;
4 Barcelona;1952;
5 Real Madrid;1923;
17 Atlético;1828;
35 Villarreal;1759;
39 Betis;1747;
50 Rayo Vallecano;1707;
53 Celta;1701;
56 Valencia;1697;
60 Bilbao;1678;
63 Real Sociedad;1669;
65 Getafe;1664;
73 Osasuna;1650;
75 Mallorca;1643;
80 Levante;1639;
83 Girona;1636;
84 Alavés;1635;
87 Espanyol;1629;
89 Sevilla;1626;
92 Elche;1623;
Oviedo;1558;
Level 2 (22 teams);⌀1486;
Las Palmas;1585;
Santander;1582;
Málaga;1569;
Almería;1556;
Eibar;1550;
Castellón;1546;
Depor;1546;
Burgos;1542;
Gijón;1500;
Albacete;1496;
Andorra CF;1494;
Leganes;1482;
Córdoba;1475;
Granada;1461;
Ceuta;1455;
Mirandes;1440;
Sociedad B;1428;
Valladolid;1425;
Cadiz;1410;
Huesca;1405;
Zaragoza;1385;
Leonesa;1368;
Italy;Italy;
Level 1 (20 teams);⌀1667;
Level 2 (20 teams);⌀1420;
Portugal;Portugal;
Level 1 (18 teams);⌀1537;
Germany;Germany;
Level 1 (16 teams);⌀1650;
Level 2 (14 teams);⌀1448;
Netherlands;Netherlands;
Level 1 (18 teams);⌀1464;
Belgium;Belgium;
Level 1 (16 teams);⌀1505;
Norway;Norway;
Level 1 (16 teams);⌀1433;
Denmark;Denmark;
Level 1 (12 teams);⌀1491;
Turkey;Turkey;
Level 1 (18 teams);⌀1433;
Greece;Greece;
Level 1 (14 teams);⌀1402;
Russia;Russia;
Level 1 (16 teams);⌀1456;
Czechia;Czechia;
Level 1 (16 teams);⌀1398;
Serbia;Serbia;
Level 1 (16 teams);⌀1197;
Croatia;Croatia;
Level 1 (10 teams);⌀1344;
Scotland;Scotland;
Level 1 (12 teams);⌀1344;
Cyprus;Cyprus;
Azerbaijan;Azerbaijan;
Poland;Poland;
Level 1 (18 teams);⌀1410;
Hungary;Hungary;
Level 1 (12 teams);⌀1326;
Sweden;Sweden;
Level 1 (16 teams);⌀1367;
Austria;Austria;
Level 1 (12 teams);⌀1358;
Switzerland;Switzerland;
Level 1 (13 teams);⌀1382;
Israel;Israel;
Level 1 (14 teams);⌀1278;
Romania;Romania;
Level 1 (8 teams);⌀1324;
Slovenia;Slovenia;
Level 1 (10 teams);⌀1245;
Bulgaria;Bulgaria;
Level 1 (19 teams);⌀1195;
Ukraine;Ukraine;
Level 1 (2 teams);⌀1195;
Slovakia;Slovakia;
Kazakhstan;Kazakhstan;
Moldova;Moldova;
Ireland;Ireland;
Finland;Finland;
Armenia;Armenia;
Iceland;Iceland;
Latvia;Latvia;
Bosnia-Herzegovina;Bosnia-Herzegovina;
Kosovo;Kosovo;
North Macedonia;North Macedonia;
Belarus;Belarus;
Faroe Islands;Faroe Islands;
Albania;Albania;
Lithuania;Lithuania;
Georgia;Georgia;
Estonia;Estonia;
Malta;Malta;
Northern Ireland;Northern Ireland;
Montenegro;Montenegro;
Wales;Wales;
Gibraltar;Gibraltar;
Luxembourg;Luxembourg;
Andorra;Andorra;
San Marino;San Marino;
