Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BbAvH,BbAvD,BbAvA,BbAv>2.5,BbAv<2.5,BbAvAHH,BbAvAHA,temp_max,lluvia_mm,viento_kmh
SP1,05/09/1993,Ath Bilbao,Albacete,4,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,20.9,0.0,14.8
SP1,05/09/1993,Ath Madrid,Logrones,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,28.8,0.0,10.0
SP1,05/09/1993,Barcelona,Sociedad,3,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,22.3,0.6,13.7
SP1,05/09/1993,La Coruna,Celta,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,20.3,0.0,9.7
SP1,05/09/1993,Osasuna,Real Madrid,1,4,A,,,,,,,,,,,,,,,,,,,,,,,,,,22.1,0.0,11.6
SP1,05/09/1993,Oviedo,Valencia,0,3,A,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,1.6,9.1
SP1,05/09/1993,Santander,Vallecano,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,23.2,0.0,18.2
SP1,05/09/1993,Tenerife,Lerida,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,25.3,0.0,19.5
SP1,05/09/1993,Valladolid,Sp Gijon,0,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,0.0,12.6
SP1,05/09/1993,Zaragoza,Sevilla,1,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,28.4,0.0,20.2
SP1,12/09/1993,Albacete,Barcelona,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,26.3,0.0,24.8
SP1,12/09/1993,Celta,Oviedo,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,17.7,15.6,39.9
SP1,12/09/1993,Lerida,Ath Bilbao,1,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,27.4,0.0,14.5
SP1,12/09/1993,Logrones,Santander,0,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,25.6,0.0,29.8
SP1,12/09/1993,Real Madrid,Valladolid,1,3,A,,,,,,,,,,,,,,,,,,,,,,,,,,23.3,0.0,27.1
SP1,12/09/1993,Sevilla,Osasuna,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,0.0,19.8
SP1,12/09/1993,Sociedad,Zaragoza,2,2,D,,,,,,,,,,,,,,,,,,,,,,,,,,25.4,1.7,34.9
SP1,12/09/1993,Sp Gijon,La Coruna,0,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,21.7,0.4,40.1
SP1,12/09/1993,Valencia,Ath Madrid,2,2,D,,,,,,,,,,,,,,,,,,,,,,,,,,31.5,0.0,20.4
SP1,12/09/1993,Vallecano,Tenerife,4,3,H,,,,,,,,,,,,,,,,,,,,,,,,,,23.8,0.0,27.1
SP1,19/09/1993,Ath Bilbao,Barcelona,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,21.7,0.0,11.6
SP1,19/09/1993,Ath Madrid,Celta,3,2,H,,,,,,,,,,,,,,,,,,,,,,,,,,25.4,0.0,7.6
SP1,19/09/1993,La Coruna,Real Madrid,4,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,20.9,2.6,23.3
SP1,19/09/1993,Lerida,Vallecano,0,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,27.2,0.0,7.5
SP1,19/09/1993,Osasuna,Sociedad,0,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,24.4,0.0,6.7
SP1,19/09/1993,Oviedo,Sp Gijon,0,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,21.7,0.0,7.2
SP1,19/09/1993,Santander,Valencia,0,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,24.1,0.0,13.8
SP1,19/09/1993,Tenerife,Logrones,2,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,24.4,0.0,18.3
SP1,19/09/1993,Valladolid,Sevilla,2,2,D,,,,,,,,,,,,,,,,,,,,,,,,,,22.2,0.0,7.8
SP1,19/09/1993,Zaragoza,Albacete,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,27.3,0.0,9.7
SP1,26/09/1993,Albacete,Osasuna,2,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,20.4,0.0,14.9
SP1,26/09/1993,Barcelona,Zaragoza,4,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,18.2,0.9,9.6
SP1,26/09/1993,Celta,Santander,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,17.2,0.0,22.1
SP1,26/09/1993,Logrones,Lerida,2,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,15.2,0.4,13.8
SP1,26/09/1993,Real Madrid,Oviedo,0,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,18.8,0.0,13.8
SP1,26/09/1993,Sevilla,La Coruna,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,0.0,13.5
SP1,26/09/1993,Sociedad,Valladolid,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,15.1,11.4,22.6
SP1,26/09/1993,Sp Gijon,Ath Madrid,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,14.7,6.1,21.8
SP1,26/09/1993,Valencia,Tenerife,3,2,H,,,,,,,,,,,,,,,,,,,,,,,,,,21.2,0.4,14.0
SP1,26/09/1993,Vallecano,Ath Bilbao,1,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,19.3,0.0,13.8
SP1,03/10/1993,Ath Bilbao,Zaragoza,2,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,17.9,10.2,28.3
SP1,03/10/1993,Ath Madrid,Real Madrid,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,19.3,0.0,16.7
SP1,03/10/1993,La Coruna,Sociedad,0,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,16.6,3.2,28.3
SP1,03/10/1993,Lerida,Valencia,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,19.1,0.0,32.0
SP1,03/10/1993,Osasuna,Barcelona,2,3,A,,,,,,,,,,,,,,,,,,,,,,,,,,13.1,9.0,17.4
SP1,03/10/1993,Oviedo,Sevilla,0,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,18.2,1.7,17.0
SP1,03/10/1993,Santander,Sp Gijon,2,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,10.9,35.3
SP1,03/10/1993,Tenerife,Celta,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,24.5,0.0,21.6
SP1,03/10/1993,Valladolid,Albacete,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,15.7,0.0,24.7
SP1,03/10/1993,Vallecano,Logrones,3,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,19.6,0.0,16.3
SP1,06/10/1993,Albacete,La Coruna,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,16.8,0.6,24.4
SP1,06/10/1993,Barcelona,Valladolid,3,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,20.2,0.1,17.1
SP1,06/10/1993,Celta,Lerida,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,14.9,36.7,26.5
SP1,06/10/1993,Logrones,Ath Bilbao,4,2,H,,,,,,,,,,,,,,,,,,,,,,,,,,16.6,0.0,22.9
SP1,06/10/1993,Real Madrid,Santander,2,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,14.6,0.1,24.0
SP1,06/10/1993,Sevilla,Ath Madrid,2,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,21.3,0.5,18.5
SP1,06/10/1993,Sociedad,Oviedo,2,2,D,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,1.5,21.9
SP1,06/10/1993,Sp Gijon,Tenerife,1,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,17.1,0.0,23.1
SP1,06/10/1993,Valencia,Vallecano,3,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,23.3,0.0,22.5
SP1,06/10/1993,Zaragoza,Osasuna,2,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,20.1,0.0,22.6
SP1,17/10/1993,Ath Bilbao,Osasuna,1,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,18.9,1.8,16.2
SP1,17/10/1993,Ath Madrid,Sociedad,1,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,14.2,2.6,18.1
SP1,17/10/1993,La Coruna,Barcelona,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,14.2,4.7,30.3
SP1,17/10/1993,Lerida,Sp Gijon,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,19.7,0.0,7.3
SP1,17/10/1993,Logrones,Valencia,2,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,17.1,0.1,11.6
SP1,17/10/1993,Oviedo,Albacete,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,13.7,13.4,12.1
SP1,17/10/1993,Santander,Sevilla,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,16.9,10.1,14.0
SP1,17/10/1993,Tenerife,Real Madrid,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,22.2,1.4,26.1
SP1,17/10/1993,Valladolid,Zaragoza,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,13.1,9.3,19.5
SP1,17/10/1993,Vallecano,Celta,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,14.2,3.0,19.4
SP1,24/10/1993,Albacete,Ath Madrid,2,2,D,,,,,,,,,,,,,,,,,,,,,,,,,,11.9,0.0,9.8
SP1,24/10/1993,Barcelona,Oviedo,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,13.9,0.0,6.9
SP1,24/10/1993,Celta,Logrones,2,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,0.0,23.5
SP1,24/10/1993,Osasuna,Valladolid,2,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,0.8,16.5
SP1,24/10/1993,Real Madrid,Lerida,5,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,0.0,12.3
SP1,24/10/1993,Sevilla,Tenerife,4,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,0.0,18.1
SP1,24/10/1993,Sociedad,Santander,2,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,8.9,5.0,12.8
SP1,24/10/1993,Sp Gijon,Vallecano,2,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,10.4,3.7,13.0
