Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR;B365H;B365D;B365A;BbAvH;BbAvD;BbAvA;BbAv>2.5;BbAv<2.5;BbAvAHH;BbAvAHA
SP1;27/08/05;Alaves;Barcelona;0;0;D;0;0;D;5;17;0;10;17;19;3;7;0;1;0;0;7.0;3.75;1.5;6.83;3.7;1.45;1.78;1.92;1.84;2.02
SP1;27/08/05;Ath Bilbao;Sociedad;3;0;H;0;0;D;10;9;6;2;13;19;3;4;0;1;0;0;2.0;3.25;3.25;1.92;3.19;3.67;1.85;1.84;1.96;1.87
SP1;27/08/05;Valencia;Betis;1;0;H;0;0;D;9;14;2;3;18;14;8;5;2;3;0;0;2.0;3.25;3.25;1.94;3.19;3.63;1.99;1.72;2.04;1.81
SP1;28/08/05;Ath Madrid;Zaragoza;0;0;D;0;0;D;16;9;5;2;16;22;8;4;2;7;0;0;1.72;3.4;4.0;1.66;3.34;4.89;1.97;1.74;1.88;1.98
SP1;28/08/05;Cadiz;Real Madrid;1;2;A;0;1;A;15;17;5;6;19;25;8;8;2;2;0;0;7.5;4.0;1.44;7.0;3.77;1.43;1.7;1.98;1.85;2.0
SP1;28/08/05;Celta;Malaga;2;0;H;1;0;H;9;10;5;4;19;25;4;11;1;2;0;0;2.1;3.25;3.0;2.06;3.17;3.34;2.02;1.67;1.87;1.98
SP1;28/08/05;Espanol;Getafe;0;2;A;0;0;D;8;16;3;9;23;25;4;2;2;3;0;0;1.61;3.4;5.0;1.64;3.4;5.04;1.96;1.74;1.9;1.96
SP1;28/08/05;Mallorca;La Coruna;0;1;A;0;1;A;10;12;3;3;19;19;8;4;2;4;0;0;2.7;3.2;2.3;2.56;3.14;2.53;1.88;1.81;1.86;1.98
SP1;28/08/05;Osasuna;Villarreal;2;1;H;1;0;H;8;10;4;3;20;9;2;4;5;2;0;0;2.7;3.2;2.3;2.83;3.18;2.3;1.95;1.75;1.91;1.94
SP1;28/08/05;Sevilla;Santander;1;0;H;1;0;H;18;5;5;3;22;27;9;3;2;3;0;0;1.66;3.4;4.5;1.6;3.43;5.41;1.94;1.74;1.77;2.1
SP1;10/09/05;Betis;Osasuna;1;0;H;0;0;D;15;12;4;3;21;29;4;1;2;6;0;0;1.66;3.4;4.5;1.64;3.36;4.95;1.91;1.8;1.93;1.93
SP1;10/09/05;La Coruna;Ath Madrid;1;0;H;0;0;D;11;13;5;7;16;22;4;5;2;2;0;0;2.0;3.25;3.25;2.1;3.15;3.17;2.05;1.67;1.94;1.92
SP1;10/09/05;Real Madrid;Celta;2;3;A;2;2;D;26;14;5;5;20;18;6;4;3;1;0;0;1.25;5.0;9.0;1.23;5.04;10.48;1.58;2.19;1.88;1.95
SP1;11/09/05;Barcelona;Mallorca;2;0;H;2;0;H;23;6;7;0;13;20;7;3;2;2;0;2;1.2;5.0;12.0;1.2;5.4;11.71;1.57;2.19;1.87;1.99
