Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;B365H;B365D;B365A;BWH;BWD;BWA;IWH;IWD;IWA;LBH;LBD;LBA;PSH;PSD;PSA;WHH;WHD;WHA;VCH;VCD;VCA;Bb1X2;BbMxH;BbAvH;BbMxD;BbAvD;BbMxA;BbAvA;BbOU;BbMx>2.5;BbAv>2.5;BbMx<2.5;BbAv<2.5;BbAH;BbAHh;BbMxAHH;BbAvAHH;BbMxAHA;BbAvAHA;PSCH;PSCD;PSCA
SP2;22/08/2015;Alcorcon;Mallorca;2;0;H;1;0;H;215;32;35;21;3;34;22;31;3;22;32;31;211;326;401;21;31;36;215;32;38;38;22;21;326;311;401;349;32;246;235;16;154;23;-25;186;181;212;2;199;328;457
SP2;22/08/2015;Cordoba;Valladolid;1;0;H;0;0;D;25;32;288;235;31;285;24;31;27;25;31;25;265;314;3;24;3;3;26;31;3;39;265;247;32;305;3;284;32;247;235;16;155;25;0;184;178;214;204;277;305;297
SP2;22/08/2015;Huesca;Alaves;2;3;A;0;1;A;23;32;31;22;29;33;23;31;28;21;3;325;242;315;334;23;3;32;24;31;33;39;242;229;32;302;335;314;32;255;24;16;152;24;-25;207;2;187;182;262;312;309
SP2;22/08/2015;Llagostera;Osasuna;0;2;A;0;0;D;24;32;3;23;32;285;23;31;28;238;32;262;257;309;315;23;31;31;255;31;31;38;257;239;33;304;315;296;32;261;241;155;152;23;0;181;173;219;209;238;313;35
SP2;23/08/2015;Almeria;Leganes;3;2;H;3;0;H;191;33;42;183;32;41;2;32;33;2;32;325;205;327;424;2;32;375;2;33;43;38;205;197;33;317;43;378;31;246;232;165;156;24;-5;206;198;194;183;212;322;413
SP2;23/08/2015;Gimnastic;Albacete;2;2;D;0;0;D;22;31;35;215;295;34;21;31;32;23;32;27;228;326;351;22;31;33;23;32;34;38;23;219;326;311;351;325;31;23;224;167;16;24;-25;199;192;196;19;255;324;308
SP2;23/08/2015;Mirandes;Zaragoza;1;1;D;0;0;D;26;32;275;26;295;265;25;31;26;238;3;27;28;317;28;25;3;288;275;313;28;38;28;258;32;304;288;27;31;251;232;16;155;24;0;196;188;2;192;294;322;268
SP2;23/08/2015;Numancia;Tenerife;6;3;H;1;2;A;225;32;32;225;3;31;22;31;3;21;32;3;243;315;332;225;31;32;24;313;325;38;243;228;325;306;332;311;31;248;231;16;155;24;-25;207;2;188;182;267;315;301
SP2;23/08/2015;Oviedo;Lugo;2;2;D;1;1;D;195;32;42;195;3;39;2;32;33;2;31;33;197;333;451;2;32;38;193;33;46;38;2;191;333;319;46;402;31;242;229;161;157;24;-5;197;19;199;191;193;344;468
SP2;23/08/2015;Ponferradina;Elche;2;0;H;0;0;D;175;35;475;18;325;42;18;32;4;18;33;433;187;34;494;183;32;45;185;34;48;38;188;181;35;328;494;441;31;241;228;161;157;24;-5;189;183;207;199;205;333;422
SP2;24/08/2015;Ath Bilbao B;Girona;0;1;A;0;0;D;225;34;31;225;31;3;23;31;28;24;32;275;;;;23;31;31;238;32;325;36;24;229;34;312;33;304;30;23;222;168;16;22;-25;205;197;191;184;292;326;266
SP2;29/08/2015;Albacete;Huesca;1;1;D;1;1;D;185;34;433;183;31;425;19;32;36;185;33;4;185;348;494;191;325;4;187;34;48;36;191;183;348;332;494;431;33;224;214;175;167;24;-5;187;183;207;199;203;343;415
SP2;29/08/2015;Girona;Numancia;2;3;A;1;1;D;195;33;4;195;32;37;2;32;33;2;32;36;204;33;423;;;;2;33;42;33;204;196;33;322;423;383;26;23;221;168;161;23;-5;204;198;192;184;188;353;479
SP2;29/08/2015;Leganes;Cordoba;3;1;H;2;0;H;215;325;34;225;31;3;22;31;3;22;32;31;226;312;375;22;3;34;22;31;38;36;226;218;325;307;38;339;27;275;258;15;146;23;-25;191;185;205;197;253;31;326
SP2;29/08/2015;Lugo;Llagostera;1;0;H;0;0;D;215;31;36;21;3;34;21;31;32;2;31;375;221;314;388;215;3;36;22;313;375;35;221;212;33;308;39;356;27;257;242;155;152;22;-25;189;184;204;198;199;327;464
SP2;29/08/2015;Zaragoza;Almeria;3;2;H;1;1;D;22;34;32;225;295;32;21;31;32;225;32;3;23;324;35;22;31;33;23;325;34;36;23;221;34;314;35;325;29;227;218;171;164;23;-25;199;192;196;19;258;323;301
SP2;30/08/2015;Alaves;Oviedo;2;0;H;2;0;H;23;31;32;22;29;33;23;31;28;225;32;3;232;327;342;23;32;3;238;32;325;36;238;227;33;312;342;311;31;225;214;175;167;22;-25;204;198;192;184;243;331;321
SP2;30/08/2015;Elche;Ath Bilbao B;2;1;H;0;0;D;225;32;325;22;3;32;23;31;28;195;32;375;234;305;364;;;;23;31;36;32;234;223;32;3;375;331;24;275;259;15;146;22;-25;199;193;196;189;21;317;427
SP2;30/08/2015;Mallorca;Ponferradina;1;0;H;1;0;H;238;3;325;23;3;3;24;31;27;238;31;288;251;312;322;24;3;3;245;32;313;36;255;238;32;303;325;301;26;237;226;165;159;22;-25;212;205;183;178;249;316;327
SP2;30/08/2015;Osasuna;Mirandes;1;0;H;0;0;D;18;35;45;183;31;433;185;32;38;191;32;4;188;332;51;183;32;45;185;33;5;36;191;183;35;322;51;445;26;256;239;157;153;23;-5;189;184;204;198;192;334;495
SP2;30/08/2015;Tenerife;Gimnastic;1;2;A;0;0;D;195;33;4;18;31;45;19;32;36;195;32;375;194;342;447;2;33;36;195;34;43;36;2;191;342;328;447;394;30;219;208;178;171;23;-5;198;191;198;191;198;347;431
SP2;30/08/2015;Valladolid;Alcorcon;2;0;H;0;0;D;191;34;4;175;33;44;19;32;36;183;32;433;196;332;456;191;31;42;191;34;45;35;196;189;34;323;456;412;26;241;227;165;159;22;-5;197;19;199;191;213;32;41
