Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;B365H;B365D;B365A;BbAvH;BbAvD;BbAvA;BbAv>2.5;BbAv<2.5;BbAvAHH;BbAvAHA;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR
SP2;31/08/96;Almeria;Las Palmas;0.0;0.0;D;;;;;;;;;;;;;;;;;;;;;;;;;
SP2;31/08/96;Leganes;Orense;5.0;0.0;H;;;;;;;;;;;;;;;;;;;;;;;;;
SP2;31/08/96;Levante;Salamanca;2.0;2.0;D;;;;;;;;;;;;;;;;;;;;;;;;;
SP2;31/08/96;Lerida;Osasuna;0.0;0.0;D;;;;;;;;;;;;;;;;;;;;;;;;;
SP2;01/09/96;Alaves;Villarreal;2.0;1.0;H;;;;;;;;;;;;;;;;;;;;;;;;;
SP2;01/09/96;Eibar;Barcelona B;1.0;0.0;H;;;;;;;;;;;;;;;;;;;;;;;;;
SP2;01/09/96;Mallorca;Ath Madrid B;2.0;1.0;H;;;;;;;;;;;;;;;;;;;;;;;;;
SP2;01/09/96;Merida;Albacete;4.0;0.0;H;;;;;;;;;;;;;;;;;;;;;;;;;
SP2;01/09/96;Real Madrid B;Badajoz;1.0;3.0;A;;;;;;;;;;;;;;;;;;;;;;;;;
SP2;01/09/96;Toledo;Ecija;4.0;0.0;H;;;;;;;;;;;;;;;;;;;;;;;;;
SP2;07/09/96;Ath Madrid B;Alaves;1.0;2.0;A;;;;;;;;;;;;;;;;;;;;;;;;;
SP2;07/09/96;Barcelona B;Lerida;0.0;0.0;D;;;;;;;;;;;;;;;;;;;;;;;;;
SP2;07/09/96;Salamanca;Eibar;0.0;1.0;A;;;;;;;;;;;;;;;;;;;;;;;;;
SP2;08/09/96;Albacete;Real Madrid B;2.0;2.0;D;;;;;;;;;;;;;;;;;;;;;;;;;
SP2;08/09/96;Badajoz;Mallorca;3.0;1.0;H;;;;;;;;;;;;;;;;;;;;;;;;;
SP2;08/09/96;Ecija;Almeria;0.0;1.0;A;;;;;;;;;;;;;;;;;;;;;;;;;
SP2;08/09/96;Las Palmas;Leganes;2.0;0.0;H;;;;;;;;;;;;;;;;;;;;;;;;;
SP2;08/09/96;Orense;Merida;2.0;0.0;H;;;;;;;;;;;;;;;;;;;;;;;;;
SP2;08/09/96;Osasuna;Toledo;0.0;1.0;A;;;;;;;;;;;;;;;;;;;;;;;;;
SP2;08/09/96;Villarreal;Levante;2.0;0.0;H;;;;;;;;;;;;;;;;;;;;;;;;;
SP2;14/09/96;Albacete;Orense;2.0;0.0;H;;;;;;;;;;;;;;;;;;;;;;;;;
SP2;14/09/96;Almeria;Osasuna;0.0;3.0;A;;;;;;;;;;;;;;;;;;;;;;;;;
SP2;14/09/96;Levante;Ath Madrid B;3.0;2.0;H;;;;;;;;;;;;;;;;;;;;;;;;;
SP2;14/09/96;Real Madrid B;Mallorca;0.0;1.0;A;;;;;;;;;;;;;;;;;;;;;;;;;
SP2;15/09/96;Alaves;Badajoz;1.0;0.0;H;;;;;;;;;;;;;;;;;;;;;;;;;
SP2;15/09/96;Eibar;Villarreal;2.0;0.0;H;;;;;;;;;;;;;;;;;;;;;;;;;
SP2;15/09/96;Leganes;Ecija;4.0;1.0;H;;;;;;;;;;;;;;;;;;;;;;;;;
SP2;15/09/96;Lerida;Salamanca;3.0;1.0;H;;;;;;;;;;;;;;;;;;;;;;;;;
SP2;15/09/96;Merida;Las Palmas;2.0;0.0;H;;;;;;;;;;;;;;;;;;;;;;;;;
SP2;15/09/96;Toledo;Barcelona B;2.0;2.0;D;;;;;;;;;;;;;;;;;;;;;;;;;
SP2;21/09/96;Ath Madrid B;Eibar;0.0;1.0;A;;;;;;;;;;;;;;;;;;;;;;;;;
SP2;21/09/96;Ecija;Merida;0.0;2.0;A;;;;;;;;;;;;;;;;;;;;;;;;;
SP2;21/09/96;Villarreal;Lerida;2.0;1.0;H;;;;;;;;;;;;;;;;;;;;;;;;;
SP2;22/09/96;Badajoz;Levante;1.0;1.0;D;;;;;;;;;;;;;;;;;;;;;;;;;
SP2;22/09/96;Barcelona B;Almeria;3.0;2.0;H;;;;;;;;;;;;;;;;;;;;;;;;;
SP2;22/09/96;Las Palmas;Albacete;3.0;1.0;H;;;;;;;;;;;;;;;;;;;;;;;;;
SP2;22/09/96;Mallorca;Alaves;3.0;1.0;H;;;;;;;;;;;;;;;;;;;;;;;;;
SP2;22/09/96;Orense;Real Madrid B;1.0;2.0;A;;;;;;;;;;;;;;;;;;;;;;;;;
SP2;22/09/96;Osasuna;Leganes;0.0;0.0;D;;;;;;;;;;;;;;;;;;;;;;;;;
SP2;22/09/96;Salamanca;Toledo;3.0;1.0;H;;;;;;;;;;;;;;;;;;;;;;;;;
SP2;28/09/96;Eibar;Badajoz;0.0;0.0;D;;;;;;;;;;;;;;;;;;;;;;;;;
SP2;28/09/96;Leganes;Barcelona B;2.0;2.0;D;;;;;;;;;;;;;;;;;;;;;;;;;
SP2;29/09/96;Albacete;Ecija;2.0;0.0;H;;;;;;;;;;;;;;;;;;;;;;;;;
SP2;29/09/96;Almeria;Salamanca;2.0;2.0;D;;;;;;;;;;;;;;;;;;;;;;;;;
SP2;29/09/96;Levante;Mallorca;1.0;2.0;A;;;;;;;;;;;;;;;;;;;;;;;;;
SP2;29/09/96;Lerida;Ath Madrid B;5.0;1.0;H;;;;;;;;;;;;;;;;;;;;;;;;;
SP2;29/09/96;Merida;Osasuna;2.0;1.0;H;;;;;;;;;;;;;;;;;;;;;;;;;
SP2;29/09/96;Orense;Las Palmas;2.0;0.0;H;;;;;;;;;;;;;;;;;;;;;;;;;
SP2;29/09/96;Real Madrid B;Alaves;1.0;0.0;H;;;;;;;;;;;;;;;;;;;;;;;;;
SP2;29/09/96;Toledo;Villarreal;1.0;2.0;A;;;;;;;;;;;;;;;;;;;;;;;;;
SP2;12/10/96;Alaves;Levante;0.0;2.0;A;;;;;;;;;;;;;;;;;;;;;;;;;
SP2;12/10/96;Barcelona B;Merida;0.0;1.0;A;;;;;;;;;;;;;;;;;;;;;;;;;
SP2;12/10/96;Las Palmas;Real Madrid B;3.0;4.0;A;;;;;;;;;;;;;;;;;;;;;;;;;
SP2;12/10/96;Salamanca;Leganes;0.0;1.0;A;;;;;;;;;;;;;;;;;;;;;;;;;
SP2;13/10/96;Ath Madrid B;Toledo;3.0;2.0;H;;;;;;;;;;;;;;;;;;;;;;;;;
SP2;13/10/96;Badajoz;Lerida;0.0;0.0;D;;;;;;;;;;;;;;;;;;;;;;;;;
SP2;13/10/96;Ecija;Orense;1.0;1.0;D;;;;;;;;;;;;;;;;;;;;;;;;;
SP2;13/10/96;Mallorca;Eibar;1.0;1.0;D;;;;;;;;;;;;;;;;;;;;;;;;;
SP2;13/10/96;Osasuna;Albacete;1.0;1.0;D;;;;;;;;;;;;;;;;;;;;;;;;;
SP2;13/10/96;Villarreal;Almeria;2.0;0.0;H;;;;;;;;;;;;;;;;;;;;;;;;;
SP2;19/10/96;Almeria;Ath Madrid B;1.0;1.0;D;;;;;;;;;;;;;;;;;;;;;;;;;
SP2;19/10/96;Las Palmas;Ecija;2.0;1.0;H;;;;;;;;;;;;;;;;;;;;;;;;;
SP2;19/10/96;Lerida;Mallorca;1.0;1.0;D;;;;;;;;;;;;;;;;;;;;;;;;;
SP2;19/10/96;Orense;Osasuna;1.0;0.0;H;;;;;;;;;;;;;;;;;;;;;;;;;
SP2;20/10/96;Albacete;Barcelona B;0.0;1.0;A;;;;;;;;;;;;;;;;;;;;;;;;;
SP2;20/10/96;Eibar;Alaves;1.0;0.0;H;;;;;;;;;;;;;;;;;;;;;;;;;
SP2;20/10/96;Leganes;Villarreal;1.0;1.0;D;;;;;;;;;;;;;;;;;;;;;;;;;
