Equipo,Latitud,Longitud
Alaves,42.8371,-2.6881
Albacete,38.9861,-1.8554
Alcorcon,40.34582,-3.82487
Almeria,36.8340,-2.4354
Amorebieta,43.26194444, -2.932222
Andorra,42.546245,1.601554
Ath Bilbao B,43.2642,-2.9494
Ath Bilbao,43.2642,-2.9494
Ath Madrid,40.4362,-3.5995
Barcelona B,41.3809,2.1228
Barcelona,41.3809,2.1228
Betis,37.3565,-5.9817
Burgos,42.3408, -3.6997
Cadiz,36.5024,-6.2725
Cartagena,37.60197, -0.98397
Castellon,39.9864,-0.0513
Celta,42.2118,-8.7397
Ceuta, 35.888361, -5.304138
Compostela,42.906458,-8.519298
Cordoba,37.884581,-4.776014
Cultural Leonesa,42.59889, -5.56694
Deportivo,43.3687,-8.4175
Eibar,43.1818,-2.4754
Elche,38.2670,-0.6628
Eldense,38.481276, -0.790329
Espanol,41.3478,2.0755
Extremadura,38.684679,-6.40678
Ferrol,43.4942, -8.2328
Fuenlabrada,40.282476, -3.792342
Getafe,40.3256,-3.7147
Gijon,43.5362,-5.6372
Gimnastic,41.117236,1.254606
Girona,41.979301,2.819944
Granada,37.1525,-3.5958
Hercules,38.3582,-0.4914
Huesca,42.136062,0.029803
Ibiza,38.9069, 1.4207
La Coruna,43.3687,-8.4175
Las Palmas,28.1001,-15.4565
Leganes,40.328194,-3.76527
Lerida,41.614761,0.626784
Levante,39.4947,-0.3639
Llagostera,41.82917,2.89333
Logrones,42.46612,-2.439668
Lorca,37.683333, -1.700000
Lugo, 43.0116, -7.5572
Malaga,36.7341,-4.4265
Mallorca,39.5900,2.6300
Merida,38.917467,-6.344398
Mirandes,LATITUD,LONGITUD
Murcia,37.9942,-1.1300
Numancia,41.7661,-2.4761
Osasuna,42.7966,-1.6371
Oviedo,43.3564,-5.8647
Ponferradina,42.5454, -6.5938
Rayo Majadahonda,40.4728,-3.8722
Real Madrid,40.4531,-3.6883
Recreativo,37.2614,-6.9314
Reus Deportiu,41.1495, 1.1125
Sabadell,41.548333, 2.1075
Salamanca,40.965157,-5.664018
Santander,43.4764,-3.7932
Sevilla B,37.3840,-5.9705
Sevilla,37.3840,-5.9705
Sociedad B,43.3014,-1.9736
Sociedad,43.3014,-1.9736
Sp Gijon,43.544942,-5.66275
Tenerife,28.4639,-16.2517
UCAM Murcia,37.992222, -1.130278
Valencia,39.4746,-0.3582
Valladolid,41.6443,-4.7611
Vallecano,40.3917,-3.6586
Villarreal B,39.9442,-0.1031
Villarreal,39.9442,-0.1031
Xerez,36.6865,-6.1244
Zaragoza,41.6366,-0.9018
