Date,HomeTeam,AwayTeam,B365H,B365D,B365A,B365_Over25,B365_Under25,B365_BTTS_Y,B365_BTTS_N,B365_Over95_Corners,B365_Under95_Corners
19/08/2026 19:00,Ath Madrid,Malaga,1.44,4.33,7.5,1.73,2.08,1.95,1.8,2.0,2.25
20/08/2026 19:00,Vallecano,Alaves,2.25,3.0,3.6,2.67,1.45,2.2,1.61,2.38,1.83
21/08/2026 19:00,Cordoba,Girona,3.1,3.5,2.2,1.85,1.95,1.73,2.0,2.0,2.2
21/08/2026 19:00,Betis,Sociedad,2.1,3.4,3.6,2.02,1.82,1.8,1.95,2.25,1.91
22/08/2026 15:00,Oviedo,Leganes,1.85,3.3,4.5,2.35,1.57,2.1,1.67,1.8,2.0
22/08/2026 15:00,Ath Bilbao,Sevilla,1.73,3.6,5.25,2.2,1.65,2.05,1.7,2.38,1.83
22/08/2026 17:00,Albacete,Sociedad B,1.8,3.4,4.5,1.85,1.95,1.73,2.0,2.2,2.0
22/08/2026 17:00,Ceuta,Las Palmas,3.2,3.2,2.3,2.08,1.73,1.8,1.91,2.38,1.83
22/08/2026 17:30,Valencia,Celta,2.35,3.25,3.25,2.2,1.65,1.95,1.8,1.95,1.85
22/08/2026 19:30,Eldense,Cadiz,2.3,3.0,3.4,2.15,1.68,1.83,1.83,2.1,2.2
22/08/2026 19:30,Espanol,Real Madrid,8.0,4.33,1.44,1.7,2.1,1.91,1.91,2.2,2.0
23/08/2026 15:00,Eibar,Valladolid,2.0,3.4,3.2,1.9,1.9,1.9,1.9,1.83,1.83
23/08/2026 15:00,Ath Madrid,Villarreal,1.91,3.6,4.0,1.88,1.98,1.8,1.95,2.1,2.1
23/08/2026 17:00,Castellon,Sabadell,1.57,3.75,6.0,1.7,2.1,1.8,1.91,2.0,1.73
23/08/2026 17:00,Sp Gijon,Burgos,2.45,3.0,3.1,2.5,1.5,2.0,1.73,2.1,2.1
23/08/2026 17:30,Getafe,Santander,2.2,2.88,4.0,2.67,1.45,2.2,1.61,2.38,1.91
23/08/2026 19:30,Tenerife,Almeria,3.2,3.2,2.25,2.08,1.73,1.83,1.83,1.91,2.25
23/08/2026 19:30,Elche,Barcelona,9.5,5.25,1.33,1.48,2.6,1.75,2.0,1.83,1.83
24/08/2026 17:00,Celta,Andorra,3.1,3.2,2.35,1.9,1.9,1.67,2.1,1.83,1.83
24/08/2026 17:30,Osasuna,Levante,1.83,3.6,4.33,2.02,1.82,1.91,1.91,1.83,1.83
24/08/2026 19:30,Granada,Mallorca,3.0,3.0,2.55,2.42,1.52,2.0,1.73,1.83,1.83
24/08/2026 19:30,Malaga,La Coruna,2.6,3.1,2.75,2.5,1.5,2.1,1.67,2.2,2.0
25/08/2026 19:00,Valencia,Betis,2.6,3.25,2.6,2.05,1.8,1.8,1.95,1.83,1.83
26/08/2026 19:00,Real Madrid,Sociedad,1.38,5.0,6.5,1.5,2.5,1.75,2.0,1.85,1.95
